M_TIMESTAMP,S_original,BU_original,missing
2026-01-01 00:00:00+00:00,56.20880432316445,52.79838220673798,0
2026-01-01 00:15:00+00:00,49.81030177750406,49.329383983864915,0
2026-01-01 00:30:00+00:00,68.91466698267722,68.28208168176207,0
2026-01-01 00:45:00+00:00,67.48896396352129,67.42706636571813,0
2026-01-01 01:00:00+00:00,73.42922538011567,71.27359909204873,0
2026-01-01 01:15:00+00:00,55.44650464318345,56.077284839913624,0
2026-01-01 01:30:00+00:00,50.7520941032196,49.36899138617991,0
2026-01-01 01:45:00+00:00,51.93679973641255,48.9440041266733,0
2026-01-01 02:00:00+00:00,53.043417553454624,49.80308272755003,0
2026-01-01 02:15:00+00:00,51.87036765110374,50.57229585803463,0
2026-01-01 02:30:00+00:00,51.701732940997346,48.22529007493372,0
2026-01-01 02:45:00+00:00,52.43614842523085,49.41025331299745,0
2026-01-01 03:00:00+00:00,51.32716488515464,45.00021707610127,0
2026-01-01 03:15:00+00:00,50.44938009382623,45.71551481010024,0
2026-01-01 03:30:00+00:00,51.089461179030344,53.37184796821702,0
2026-01-01 03:45:00+00:00,52.455951889808844,48.932323914918214,0
2026-01-01 04:00:00+00:00,53.115889723495755,53.35155227975608,0
2026-01-01 04:15:00+00:00,53.0621627583059,52.073737953845985,0
2026-01-01 04:30:00+00:00,52.95009387885966,50.65694016995695,0
2026-01-01 04:45:00+00:00,54.91659144831471,50.34523474968243,0
2026-01-01 05:00:00+00:00,55.446178140832096,53.43292018762369,0
2026-01-01 05:15:00+00:00,54.46998755412645,57.17819060611123,0
2026-01-01 05:30:00+00:00,55.85639463841227,56.91763797192976,0
2026-01-01 05:45:00+00:00,57.890191289873954,56.35089739279615,0
2026-01-01 06:00:00+00:00,248.25582690861927,223.76953357864883,0
2026-01-01 06:15:00+00:00,238.58822199185315,226.16808385129514,0
2026-01-01 06:30:00+00:00,241.2207742725412,225.38257523847406,0
2026-01-01 06:45:00+00:00,239.3376958434142,237.06058346418595,0
2026-01-01 07:00:00+00:00,251.62358288421518,256.92359285453216,0
2026-01-01 07:15:00+00:00,253.60562352489404,245.95537637356477,0
2026-01-01 07:30:00+00:00,244.80367839440166,235.01211083800894,0
2026-01-01 07:45:00+00:00,245.80682917371968,252.3700244796212,0
2026-01-01 08:00:00+00:00,253.6680995549065,240.34373705669782,0
2026-01-01 08:15:00+00:00,262.41625647802,254.5658137989605,0
2026-01-01 08:30:00+00:00,261.5478008795706,258.6416527659567,0
2026-01-01 08:45:00+00:00,260.7031721469528,242.3094563375116,0
2026-01-01 09:00:00+00:00,251.1009202806778,237.965017579096,0
2026-01-01 09:15:00+00:00,250.37919515827357,235.7144705785145,0
2026-01-01 09:30:00+00:00,256.81085192398643,260.93710631056393,0
2026-01-01 09:45:00+00:00,245.7784297987521,252.81112485768293,0
2026-01-01 10:00:00+00:00,244.6341028509771,237.58686841128198,0
2026-01-01 10:15:00+00:00,244.84763424238346,236.00909355868555,0
2026-01-01 10:30:00+00:00,256.44143127579207,240.80235455103775,0
2026-01-01 10:45:00+00:00,261.79094846737064,248.406476955692,0
2026-01-01 11:00:00+00:00,237.93752087748427,223.7433399908657,0
2026-01-01 11:15:00+00:00,247.74654382013685,238.99240025751172,0
2026-01-01 11:30:00+00:00,238.42249058604258,232.92777209658493,0
2026-01-01 11:45:00+00:00,232.34154004817222,225.54588169610622,0
2026-01-01 12:00:00+00:00,244.49292489152933,233.73143043794357,0
2026-01-01 12:15:00+00:00,238.05971916740666,228.33789875011294,0
2026-01-01 12:30:00+00:00,224.6557151342047,215.83740870688456,0
2026-01-01 12:45:00+00:00,229.02386508188042,218.54448407422424,0
2026-01-01 13:00:00+00:00,235.06221330100828,233.3278503942743,0
2026-01-01 13:15:00+00:00,244.1981055446127,216.96485250663602,0
2026-01-01 13:30:00+00:00,237.18621302053248,237.90329515077818,0
2026-01-01 13:45:00+00:00,222.03591571667386,216.8703226478683,0
2026-01-01 14:00:00+00:00,239.70216121242478,236.95343166626566,0
2026-01-01 14:15:00+00:00,220.10057885987092,218.4218381754898,0
2026-01-01 14:30:00+00:00,236.4983615884969,219.29954114641282,0
2026-01-01 14:45:00+00:00,235.7105640078936,218.60753304070525,0
2026-01-01 15:00:00+00:00,231.9955490384624,214.34547062447996,0
2026-01-01 15:15:00+00:00,228.64538036108004,216.3815422305524,0
2026-01-01 15:30:00+00:00,215.90367118387246,214.3333405277352,0
2026-01-01 15:45:00+00:00,226.9092644089914,210.01363279136262,0
2026-01-01 16:00:00+00:00,223.3324121184646,219.40568323893874,0
2026-01-01 16:15:00+00:00,228.05323499619018,202.35650800805874,0
2026-01-01 16:30:00+00:00,232.57979466930166,220.99627971308723,0
2026-01-01 16:45:00+00:00,234.29861491642532,231.33161192722787,0
2026-01-01 17:00:00+00:00,223.00111407598894,214.08756826171435,0
2026-01-01 17:15:00+00:00,225.4583328203545,207.7824241588121,0
2026-01-01 17:30:00+00:00,239.126409123575,226.00807547346804,0
2026-01-01 17:45:00+00:00,236.94201656456633,204.47948712080824,0
2026-01-01 18:00:00+00:00,244.39317768895953,224.43825025323656,0
2026-01-01 18:15:00+00:00,225.51127469765504,227.46851137554927,0
2026-01-01 18:30:00+00:00,223.43988248617856,208.14408784445922,0
2026-01-01 18:45:00+00:00,228.33734955741087,214.8358589776509,0
2026-01-01 19:00:00+00:00,218.2986044907385,194.03200459421964,0
2026-01-01 19:15:00+00:00,221.87090463119577,200.75372190257156,0
2026-01-01 19:30:00+00:00,213.2893869624379,215.307900537052,0
2026-01-01 19:45:00+00:00,215.59061422441232,210.992358295172,0
2026-01-01 20:00:00+00:00,216.30426523920232,193.69736363334886,0
2026-01-01 20:15:00+00:00,220.9041729349986,208.36844907956927,0
2026-01-01 20:30:00+00:00,227.2645331204762,216.80480562694495,0
2026-01-01 20:45:00+00:00,216.54441454105117,199.00882715846808,0
2026-01-01 21:00:00+00:00,212.30438217523155,189.11558430818172,0
2026-01-01 21:15:00+00:00,216.227054890873,207.03301629185654,0
2026-01-01 21:30:00+00:00,217.5502373254932,215.67472433758263,0
2026-01-01 21:45:00+00:00,208.5678854764056,203.97633310082773,0
2026-01-01 22:00:00+00:00,66.1181350641047,65.97656292354232,0
2026-01-01 22:15:00+00:00,59.416678020270794,54.649911021710956,0
2026-01-01 22:30:00+00:00,71.771044420006,68.4654638678627,0
2026-01-01 22:45:00+00:00,61.00247366648308,58.170391701574864,0
2026-01-01 23:00:00+00:00,65.64280468897061,63.239116157242485,0
